DateID,Date,Day,Month,Year,Quarter
20231007,07-10-2023,7,10,2023,4
20231008,08-10-2023,8,10,2023,4
20231009,09-10-2023,9,10,2023,4
20231010,10-10-2023,10,10,2023,4
20231011,11-10-2023,11,10,2023,4
20231012,12-10-2023,12,10,2023,4
20231013,13-10-2023,13,10,2023,4
20231014,14-10-2023,14,10,2023,4
20231015,15-10-2023,15,10,2023,4
20231016,16-10-2023,16,10,2023,4
20231017,17-10-2023,17,10,2023,4
20231018,18-10-2023,18,10,2023,4
20231019,19-10-2023,19,10,2023,4
20231020,20-10-2023,20,10,2023,4
20231021,21-10-2023,21,10,2023,4
20231022,22-10-2023,22,10,2023,4
20231023,23-10-2023,23,10,2023,4
20231024,24-10-2023,24,10,2023,4
20231025,25-10-2023,25,10,2023,4
20231026,26-10-2023,26,10,2023,4
20231027,27-10-2023,27,10,2023,4
20231028,28-10-2023,28,10,2023,4
20231029,29-10-2023,29,10,2023,4
20231030,30-10-2023,30,10,2023,4
20231031,31-10-2023,31,10,2023,4
20231101,01-11-2023,1,11,2023,4
20231102,02-11-2023,2,11,2023,4
20231103,03-11-2023,3,11,2023,4
20231104,04-11-2023,4,11,2023,4
20231105,05-11-2023,5,11,2023,4
20231106,06-11-2023,6,11,2023,4
20231107,07-11-2023,7,11,2023,4
20231108,08-11-2023,8,11,2023,4
20231109,09-11-2023,9,11,2023,4
20231110,10-11-2023,10,11,2023,4
20231111,11-11-2023,11,11,2023,4
20231112,12-11-2023,12,11,2023,4
20231113,13-11-2023,13,11,2023,4
20231114,14-11-2023,14,11,2023,4
20231115,15-11-2023,15,11,2023,4
20231116,16-11-2023,16,11,2023,4
20231117,17-11-2023,17,11,2023,4
20231118,18-11-2023,18,11,2023,4
20231119,19-11-2023,19,11,2023,4
20231120,20-11-2023,20,11,2023,4
20231121,21-11-2023,21,11,2023,4
20231122,22-11-2023,22,11,2023,4
20231123,23-11-2023,23,11,2023,4
20231124,24-11-2023,24,11,2023,4
20231125,25-11-2023,25,11,2023,4
20231126,26-11-2023,26,11,2023,4
20231127,27-11-2023,27,11,2023,4
20231128,28-11-2023,28,11,2023,4
20231129,29-11-2023,29,11,2023,4
20231130,30-11-2023,30,11,2023,4
20231201,01-12-2023,1,12,2023,4
20231202,02-12-2023,2,12,2023,4
20231203,03-12-2023,3,12,2023,4
20231204,04-12-2023,4,12,2023,4
20231205,05-12-2023,5,12,2023,4
20231206,06-12-2023,6,12,2023,4
