DateID,MachineID,FailureOccurrence,DowntimeMinutes,MaintenanceType,MaintenanceCost,MTBF_Days,MTTR_Minutes
20231007,1,1,232,Preventive,505.17,29.27,175.33
20231008,1,0,0,Preventive,0.0,29.27,175.33
20231009,1,0,0,Reactive,0.0,29.27,175.33
20231010,1,0,0,Reactive,0.0,29.27,175.33
20231011,1,0,0,Reactive,0.0,29.27,175.33
20231012,1,0,0,Reactive,0.0,29.27,175.33
20231013,1,0,0,Preventive,0.0,29.27,175.33
20231014,1,0,0,Reactive,0.0,29.27,175.33
20231015,1,1,262,Reactive,612.05,29.27,175.33
20231016,1,0,0,Preventive,0.0,29.27,175.33
20231017,1,0,0,Reactive,0.0,29.27,175.33
20231018,1,0,0,Reactive,0.0,29.27,175.33
20231019,1,0,0,Reactive,0.0,29.27,175.33
20231020,1,0,0,Reactive,0.0,29.27,175.33
20231021,1,0,0,Preventive,0.0,29.27,175.33
20231022,1,0,0,Preventive,0.0,29.27,175.33
20231023,1,0,0,Preventive,0.0,29.27,175.33
20231024,1,0,0,Preventive,0.0,29.27,175.33
20231025,1,0,0,Preventive,0.0,29.27,175.33
20231026,1,0,0,Preventive,0.0,29.27,175.33
20231027,1,0,0,Preventive,0.0,29.27,175.33
20231028,1,0,0,Reactive,0.0,29.27,175.33
20231029,1,0,0,Reactive,0.0,29.27,175.33
20231030,1,0,0,Preventive,0.0,29.27,175.33
20231031,1,0,0,Preventive,0.0,29.27,175.33
20231101,1,0,0,Reactive,0.0,29.27,175.33
20231102,1,0,0,Preventive,0.0,29.27,175.33
20231103,1,0,0,Preventive,0.0,29.27,175.33
20231104,1,0,0,Reactive,0.0,29.27,175.33
20231105,1,0,0,Preventive,0.0,29.27,175.33
20231106,1,0,0,Preventive,0.0,29.27,175.33
20231107,1,0,0,Preventive,0.0,29.27,175.33
20231108,1,0,0,Preventive,0.0,29.27,175.33
20231109,1,0,0,Reactive,0.0,29.27,175.33
20231110,1,0,0,Preventive,0.0,29.27,175.33
20231111,1,0,0,Preventive,0.0,29.27,175.33
20231112,1,0,0,Preventive,0.0,29.27,175.33
