DateID,MachineID,OEEPercent,UtilizationRatePercent,ActualCycleTimeMinutes,TargetCycleTimeMinutes,ChangeoverTimeMinutes,ScrapRatePercent
20231007,1,80.01,64.62,10.86,10,54,1.62
20231007,2,88.58,80.48,9.04,10,72,2.77
20231007,3,68.42,85.53,10.07,10,43,1.49
20231007,4,69.43,52.6,9.75,10,32,0.1
20231007,5,61.87,58.1,11.75,10,117,2.76
20231007,6,61.22,78.72,10.19,10,35,2.6
20231007,7,84.5,93.29,10.36,10,51,0.24
20231007,8,85.47,64.33,10.99,10,73,2.63
20231007,9,79.07,58.49,9.67,10,85,0.38
20231007,10,73.41,91.18,9.84,10,100,0.95
20231008,1,74.33,78.76,11.93,10,59,1.41
20231008,2,64.59,77.69,10.89,10,106,1.89
20231008,3,63.02,64.14,9.71,10,119,0.48
20231008,4,91.02,96.52,8.6,10,50,2.1
20231008,5,79.83,64.38,10.91,10,89,1.62
20231008,6,63.22,98.55,10.46,10,108,0.58
20231008,7,84.28,83.84,9.78,10,114,2.81
20231008,8,73.21,91.61,8.32,10,49,0.98
20231008,9,68.1,94.01,8.22,10,56,2.09
20231008,10,94.19,89.51,9.88,10,43,0.39
20231009,1,90.4,93.07,10.23,10,116,1.17
20231009,2,76.12,98.63,11.44,10,44,1.37
20231009,3,97.53,54.97,11.82,10,52,1.96
20231009,4,82.38,91.51,11.11,10,76,0.4
20231009,5,71.5,96.39,9.54,10,112,0.35
20231009,6,77.24,94.98,9.34,10,50,0.72
20231009,7,85.81,72.35,11.34,10,114,1.67
20231009,8,94.82,64.11,10.45,10,101,0.4
20231009,9,76.61,50.72,10.39,10,106,2.65
20231009,10,87.83,69.43,9.21,10,43,2.01
20231010,1,92.59,58.73,11.47,10,54,2.47
20231010,2,60.26,81.8,9.94,10,71,1.81
20231010,3,79.43,71.69,10.33,10,95,1.57
20231010,4,92.99,80.45,11.43,10,39,2.27
20231010,5,82.61,65.84,11.77,10,45,2.16
20231010,6,99.21,69.06,8.03,10,56,1.91
20231010,7,80.88,72.97,8.02,10,58,0.54
20231010,8,61.56,93.74,10.02,10,116,0.14
20231010,9,66.62,68.84,10.8,10,106,1.25
20231010,10,71.16,71.21,9.49,10,82,0.56
20231011,1,83.5,59.87,10.44,10,97,1.6
20231011,2,75.99,67.2,10.81,10,88,2.31
20231011,3,61.43,52.53,10.34,10,116,1.5
20231011,4,67.63,59.51,8.56,10,38,0.53
20231011,5,67.77,80.15,10.86,10,49,1.03
20231011,6,62.5,86.28,8.9,10,39,2.93
20231011,7,83.3,54.94,9.34,10,91,0.67
20231011,8,61.91,66.9,10.12,10,36,2.12
20231011,9,70.13,86.18,10.01,10,53,0.53
20231011,10,92.88,54.71,8.62,10,95,1.22
20231012,1,92.27,65.32,9.94,10,96,0.46
20231012,2,94.11,62.62,8.55,10,74,0.31
20231012,3,71.07,50.9,10.4,10,48,1.34
20231012,4,91.18,63.16,11.34,10,95,1.45
20231012,5,63.64,53.96,10.54,10,45,1.04
20231012,6,73.9,92.01,8.72,10,96,1.91
20231012,7,94.26,61.69,10.09,10,66,0.21
20231012,8,75.15,57.25,9.5,10,71,1.96
20231012,9,69.96,71.71,10.23,10,113,0.83
20231012,10,96.69,97.11,8.75,10,46,1.61
20231013,1,60.8,70.35,10.73,10,112,0.87
20231013,2,76.94,58.98,11.52,10,68,2.14
20231013,3,70.54,77.82,10.23,10,114,0.79
20231013,4,83.16,88.97,9.24,10,52,2.1
20231013,5,83.43,97.59,10.36,10,43,2.09
20231013,6,66.67,68.11,10.67,10,108,1.62
20231013,7,83.05,83.17,9.91,10,104,2.9
20231013,8,86.64,58.95,9.53,10,63,2.63
20231013,9,77.04,82.66,11.14,10,111,1.95
20231013,10,68.78,63.69,8.24,10,107,2.87
20231014,1,89.08,73.56,10.76,10,117,2.07
20231014,2,69.99,80.78,8.88,10,50,2.66
20231014,3,89.93,75.6,10.38,10,119,0.7
20231014,4,83.15,82.21,10.58,10,54,0.44
20231014,5,95.77,70.28,11.32,10,103,0.74
20231014,6,71.86,73.11,9.09,10,58,0.62
20231014,7,69.05,62.7,11.75,10,32,2.2
20231014,8,93.34,96.27,8.31,10,64,2.23
20231014,9,93.04,58.14,10.89,10,34,1.97
20231014,10,75.7,68.33,11.06,10,95,2.6
20231015,1,70.19,53.09,10.85,10,108,2.16
20231015,2,70.22,96.17,8.69,10,59,1.45
20231015,3,92.93,95.51,11.95,10,63,0.3
20231015,4,72.1,72.75,10.28,10,36,1.55
20231015,5,70.51,51.33,11.91,10,117,2.71
20231015,6,84.81,57.0,8.92,10,79,0.69
20231015,7,79.08,51.13,10.78,10,116,1.27
20231015,8,88.56,88.98,9.66,10,98,2.75
20231015,9,74.65,93.31,10.26,10,116,2.27
20231015,10,72.38,86.09,11.58,10,99,0.57
20231016,1,90.07,82.08,10.27,10,90,2.4
20231016,2,73.25,92.37,8.59,10,115,1.67
20231016,3,71.49,69.5,9.38,10,80,1.33
20231016,4,76.02,93.4,10.02,10,48,1.7
20231016,5,93.06,79.06,11.21,10,49,1.36
20231016,6,88.56,79.01,9.34,10,76,0.64
20231016,7,86.5,74.85,10.74,10,40,1.25
20231016,8,65.77,60.03,11.58,10,54,2.28
20231016,9,93.37,74.49,11.27,10,109,0.51
20231016,10,76.31,80.91,9.25,10,47,1.27
20231017,1,80.72,50.17,11.82,10,68,1.98
20231017,2,68.37,60.09,10.17,10,57,1.25
20231017,3,91.77,72.58,11.12,10,51,2.61
20231017,4,99.02,56.03,8.31,10,85,0.54
20231017,5,86.12,83.35,8.94,10,45,0.57
20231017,6,72.78,74.13,10.04,10,46,1.71
20231017,7,66.16,82.11,11.45,10,49,2.06
20231017,8,77.09,73.41,10.48,10,99,0.25
20231017,9,90.61,85.58,9.12,10,55,2.99
20231017,10,67.63,80.83,9.21,10,40,2.11
20231018,1,68.19,57.74,11.07,10,113,0.6
20231018,2,70.73,54.84,11.77,10,104,1.46
20231018,3,82.57,53.82,10.33,10,98,1.19
20231018,4,72.06,65.23,9.41,10,38,1.83
20231018,5,64.5,84.66,10.5,10,103,1.51
20231018,6,82.67,55.22,9.8,10,64,2.58
20231018,7,99.81,78.64,10.42,10,107,1.1
20231018,8,94.61,84.44,11.52,10,110,1.82
20231018,9,65.35,77.65,9.19,10,79,1.81
20231018,10,87.11,50.98,9.21,10,49,1.22
20231019,1,92.65,90.91,8.09,10,32,2.13
20231019,2,82.54,52.64,8.41,10,81,2.67
20231019,3,61.56,86.18,8.17,10,55,1.86
20231019,4,90.49,90.6,10.82,10,70,2.59
20231019,5,82.46,65.06,8.94,10,48,0.25
20231019,6,85.52,80.44,10.23,10,44,1.2
20231019,7,90.68,51.41,10.74,10,92,0.1
20231019,8,73.05,93.67,8.32,10,68,2.64
20231019,9,69.2,96.4,10.68,10,67,0.17
20231019,10,74.39,93.34,8.18,10,76,0.99
20231020,1,72.15,62.96,11.3,10,73,0.85
20231020,2,93.03,90.52,10.68,10,93,0.52
20231020,3,69.72,83.11,8.53,10,54,0.6
20231020,4,63.34,99.55,8.11,10,105,0.47
20231020,5,92.1,56.33,10.65,10,70,3.0
20231020,6,78.03,79.5,8.11,10,72,2.6
20231020,7,79.53,56.54,10.91,10,98,2.96
20231020,8,67.32,72.01,10.49,10,46,2.79
20231020,9,95.14,58.5,8.4,10,37,1.61
20231020,10,99.03,71.66,9.47,10,71,0.29
20231021,1,88.89,78.51,11.07,10,54,2.48
20231021,2,99.0,62.25,10.28,10,65,1.82
20231021,3,68.29,77.65,9.45,10,80,1.07
20231021,4,80.79,84.47,11.81,10,90,2.8
20231021,5,71.39,79.14,10.89,10,47,2.81
20231021,6,87.79,84.89,9.96,10,93,0.05
20231021,7,71.41,72.8,9.77,10,97,0.1
20231021,8,70.03,67.35,10.08,10,96,2.32
20231021,9,72.87,78.23,9.82,10,31,0.7
20231021,10,74.27,82.67,10.41,10,36,0.96
20231022,1,82.44,54.96,11.14,10,32,0.99
20231022,2,72.58,55.21,8.58,10,96,2.93
20231022,3,83.89,75.95,9.03,10,64,0.86
20231022,4,97.59,75.63,10.52,10,84,2.94
20231022,5,87.59,90.35,10.39,10,52,2.38
20231022,6,70.58,65.02,10.09,10,80,2.51
20231022,7,63.67,61.33,10.89,10,69,0.08
20231022,8,78.11,58.03,9.73,10,59,0.36
20231022,9,79.29,57.89,8.07,10,49,0.41
20231022,10,81.53,60.62,11.34,10,70,2.53
20231023,1,97.09,81.8,8.82,10,102,2.18
20231023,2,77.97,51.71,11.47,10,40,0.82
20231023,3,81.53,84.91,8.62,10,37,0.35
20231023,4,64.78,78.02,8.26,10,78,0.94
20231023,5,60.88,62.84,9.37,10,65,1.81
20231023,6,82.45,77.44,10.62,10,69,1.32
20231023,7,99.11,92.12,10.99,10,107,2.29
20231023,8,97.64,75.6,8.16,10,52,0.58
20231023,9,76.74,77.38,10.55,10,39,2.47
20231023,10,91.89,89.95,8.43,10,47,1.33
20231024,1,62.34,54.85,8.28,10,31,1.18
20231024,2,91.77,78.3,11.45,10,91,1.64
20231024,3,89.98,94.93,11.02,10,109,0.9
20231024,4,65.4,95.39,9.14,10,86,1.33
20231024,5,66.16,58.97,10.24,10,36,2.3
20231024,6,78.48,70.65,9.9,10,52,2.51
20231024,7,96.56,84.3,8.56,10,34,1.65
20231024,8,75.49,76.21,8.48,10,114,1.29
20231024,9,84.71,99.47,11.31,10,61,1.89
20231024,10,93.14,76.07,10.7,10,56,1.91
20231025,1,99.78,89.44,11.5,10,53,2.45
20231025,2,63.02,86.06,9.98,10,63,1.16
20231025,3,62.53,91.7,9.03,10,112,1.46
20231025,4,70.43,51.4,9.76,10,58,2.87
20231025,5,82.09,65.39,10.04,10,48,1.55
20231025,6,98.82,99.36,10.9,10,100,2.28
20231025,7,77.93,68.35,9.39,10,65,0.1
20231025,8,91.57,81.26,11.93,10,108,1.8
20231025,9,67.87,60.02,11.08,10,74,1.23
20231025,10,72.02,86.68,11.64,10,77,2.88
20231026,1,91.82,71.76,10.48,10,69,2.36
20231026,2,63.79,84.69,10.84,10,32,0.8
20231026,3,72.45,94.03,10.02,10,48,2.47
20231026,4,98.07,66.26,9.89,10,117,1.36
20231026,5,74.52,51.67,10.85,10,119,0.35
20231026,6,91.08,81.15,9.5,10,70,0.72
20231026,7,60.32,69.04,11.76,10,107,1.1
20231026,8,94.13,86.65,9.13,10,70,2.33
20231026,9,99.72,73.53,9.34,10,73,1.82
20231026,10,70.26,71.87,10.72,10,72,1.11
20231027,1,85.24,67.69,10.73,10,116,2.93
20231027,2,88.1,95.93,11.88,10,69,0.97
20231027,3,70.18,95.62,9.53,10,78,2.48
20231027,4,90.7,84.13,9.44,10,100,1.45
20231027,5,67.77,54.86,10.02,10,79,0.49
20231027,6,79.86,57.04,10.12,10,97,1.27
20231027,7,72.44,78.25,9.56,10,112,2.99
20231027,8,98.9,78.68,11.73,10,119,1.61
20231027,9,86.94,93.77,10.52,10,71,0.71
20231027,10,68.79,95.76,11.76,10,36,1.86
20231028,1,75.75,98.94,8.62,10,108,1.35
20231028,2,84.35,76.18,11.97,10,83,2.53
20231028,3,99.05,94.12,9.61,10,110,0.24
20231028,4,81.92,53.44,10.36,10,37,1.87
20231028,5,98.75,59.87,11.29,10,79,2.41
20231028,6,99.63,62.84,8.25,10,63,0.01
20231028,7,71.46,98.17,9.99,10,59,2.72
20231028,8,71.34,70.82,8.32,10,56,2.27
20231028,9,80.68,62.86,8.64,10,52,0.89
20231028,10,84.7,53.29,9.73,10,57,0.62
20231029,1,83.58,70.99,9.85,10,79,1.62
20231029,2,97.78,51.12,10.83,10,118,2.84
20231029,3,61.7,56.33,11.38,10,85,1.19
20231029,4,63.6,53.51,10.46,10,109,2.99
20231029,5,74.9,97.76,11.81,10,118,2.99
20231029,6,73.63,62.54,10.48,10,72,1.63
20231029,7,63.72,54.12,10.44,10,40,0.91
20231029,8,63.74,55.51,9.37,10,58,0.04
20231029,9,75.16,79.07,11.38,10,110,2.43
20231029,10,81.94,83.32,9.55,10,49,2.88
20231030,1,61.32,51.91,9.23,10,105,1.84
20231030,2,94.8,63.48,10.59,10,119,2.9
20231030,3,88.84,63.74,10.38,10,44,1.09
20231030,4,64.42,52.66,8.23,10,30,1.47
20231030,5,71.7,80.7,8.95,10,38,2.02
20231030,6,84.89,62.9,10.49,10,82,1.3
20231030,7,97.39,74.0,11.53,10,79,0.26
20231030,8,64.51,54.93,9.22,10,39,2.65
20231030,9,64.25,88.22,8.08,10,77,1.64
20231030,10,66.34,74.17,10.29,10,61,2.1
20231031,1,97.27,63.78,11.2,10,65,2.99
20231031,2,77.83,68.97,9.33,10,93,0.07
20231031,3,63.13,58.5,9.09,10,95,0.24
20231031,4,71.1,55.06,11.75,10,93,2.91
20231031,5,89.61,89.21,10.16,10,41,2.93
20231031,6,91.48,57.26,9.43,10,41,2.64
20231031,7,65.73,50.91,10.57,10,113,0.11
20231031,8,81.62,83.98,9.8,10,68,0.24
20231031,9,73.57,83.74,9.64,10,74,2.81
20231031,10,92.76,75.86,8.1,10,99,0.58
20231101,1,95.06,68.38,8.23,10,90,2.67
20231101,2,91.13,61.19,11.21,10,76,0.21
20231101,3,78.27,99.29,9.81,10,33,0.81
20231101,4,72.36,98.68,11.71,10,93,0.86
20231101,5,75.45,90.54,9.08,10,79,1.01
20231101,6,81.51,92.34,9.47,10,116,0.15
20231101,7,92.77,64.86,10.35,10,57,2.65
20231101,8,86.11,56.7,10.39,10,68,0.17
20231101,9,99.52,65.47,10.11,10,43,0.33
20231101,10,86.85,73.92,11.06,10,56,0.85
20231102,1,80.34,61.29,9.16,10,114,0.13
20231102,2,95.47,79.29,11.0,10,32,2.03
20231102,3,96.36,86.94,8.68,10,36,0.93
20231102,4,95.37,59.47,11.81,10,34,0.91
20231102,5,82.84,59.73,9.58,10,50,0.2
20231102,6,90.41,91.44,9.9,10,100,0.87
20231102,7,84.63,90.58,8.68,10,68,1.26
20231102,8,88.58,94.47,11.73,10,105,2.05
20231102,9,83.36,89.78,8.79,10,51,0.98
20231102,10,87.02,58.37,11.63,10,111,1.72
20231103,1,61.4,59.47,8.9,10,116,1.64
20231103,2,61.58,75.42,8.1,10,101,0.98
20231103,3,72.51,83.12,11.19,10,30,1.45
