DateID,ProductID,TotalUnitsProduced,ProductionEfficiencyPercent,DowntimeMinutes,OnTimeDeliveryRatePercent,ProductionCostPerUnit
20231007,1,849,94.94,31,94.25,12.08
20231007,2,1059,87.77,220,98.42,14.5
20231007,3,1001,98.42,299,97.27,13.27
20231007,4,1014,92.81,219,93.25,13.89
20231007,5,1137,93.1,246,92.81,15.43
20231007,6,840,89.44,94,90.16,14.23
20231007,7,928,87.98,92,98.15,17.07
20231007,8,962,96.85,290,99.26,16.51
20231007,9,827,97.95,297,93.31,10.64
20231007,10,861,89.88,128,95.91,12.75
20231007,11,834,92.08,130,99.72,18.49
20231007,12,804,93.42,284,92.56,10.4
20231007,13,1006,91.41,71,94.39,12.02
20231007,14,1151,94.55,81,95.63,16.96
20231007,15,1030,91.16,200,92.03,19.43
20231007,16,1126,89.35,115,98.8,16.24
20231007,17,861,94.5,163,94.57,12.18
20231007,18,1139,98.39,157,98.07,18.96
20231007,19,1030,98.6,150,98.18,18.61
20231007,20,1158,87.47,166,94.85,16.92
20231008,1,1033,90.06,189,95.19,17.03
20231008,2,912,85.97,81,92.47,16.96
20231008,3,1186,89.51,142,99.98,12.67
20231008,4,801,92.54,83,90.33,13.45
20231008,5,1184,88.59,159,95.31,14.48
20231008,6,997,88.63,232,93.7,12.42
20231008,7,1093,90.52,127,96.34,15.36
20231008,8,1039,96.98,230,93.21,11.87
20231008,9,1148,97.88,281,96.78,10.17
20231008,10,946,90.23,228,91.74,16.91
20231008,11,927,92.77,158,96.76,17.35
20231008,12,950,93.12,128,92.29,11.75
20231008,13,911,93.33,89,92.61,19.96
20231008,14,1053,98.46,66,98.83,11.89
20231008,15,1032,90.24,237,98.97,18.87
20231008,16,919,98.32,145,90.84,11.62
20231008,17,903,94.1,256,93.72,19.4
20231008,18,952,85.08,223,96.92,16.52
20231008,19,968,87.64,97,92.37,13.25
20231008,20,1183,96.16,224,96.58,15.68
20231009,1,1170,94.54,51,92.44,19.73
20231009,2,1164,92.3,293,96.31,17.95
20231009,3,1085,94.68,176,95.72,17.69
20231009,4,816,99.92,187,99.54,19.15
20231009,5,898,96.22,66,99.28,14.28
20231009,6,980,93.58,217,98.53,12.94
20231009,7,960,89.75,157,93.73,13.95
20231009,8,853,95.44,203,90.97,16.15
20231009,9,1141,90.38,156,95.18,18.77
20231009,10,1072,97.73,275,93.59,12.94
20231009,11,1046,91.3,42,90.82,10.05
20231009,12,835,96.97,293,97.02,17.96
20231009,13,1170,90.07,121,95.79,14.38
20231009,14,1141,89.92,215,95.43,12.87
20231009,15,1113,97.91,209,90.39,13.03
20231009,16,900,92.83,82,92.72,19.65
20231009,17,902,86.28,76,97.0,11.38
20231009,18,943,99.64,153,97.15,10.41
20231009,19,919,89.06,121,97.44,12.51
20231009,20,916,86.21,156,96.96,14.09
20231010,1,857,98.73,268,92.5,15.49
20231010,2,847,87.74,266,92.8,19.55
20231010,3,991,93.32,276,90.48,15.66
20231010,4,885,85.22,249,90.46,10.41
20231010,5,1037,99.69,233,90.17,17.63
20231010,6,1140,92.1,283,94.34,13.99
20231010,7,809,99.24,129,90.45,13.75
20231010,8,1049,99.0,125,98.56,16.59
20231010,9,803,94.24,276,99.44,18.67
20231010,10,959,99.1,181,96.77,15.73
20231010,11,832,91.87,208,98.21,16.26
20231010,12,864,99.42,72,91.96,10.69
20231010,13,894,90.66,282,90.94,16.83
20231010,14,1136,94.84,122,98.45,10.23
20231010,15,914,89.23,225,96.93,13.48
20231010,16,874,98.16,246,98.03,12.82
20231010,17,1193,91.35,221,95.76,17.32
20231010,18,835,90.58,125,93.41,19.31
20231010,19,836,88.58,212,97.51,17.55
20231010,20,1160,90.67,91,94.97,13.9
20231011,1,1196,98.43,206,90.53,19.59
20231011,2,875,90.32,235,96.77,14.83
20231011,3,1166,86.25,98,92.93,13.29
20231011,4,1178,88.19,82,97.92,17.9
20231011,5,908,98.96,215,90.58,15.5
20231011,6,932,96.06,250,93.51,11.17
20231011,7,875,95.32,282,98.38,14.26
20231011,8,967,86.09,151,91.47,15.13
20231011,9,1138,93.72,174,99.47,19.86
20231011,10,931,90.25,281,90.84,17.77
20231011,11,981,95.58,231,99.06,11.11
20231011,12,972,85.17,249,95.71,17.41
20231011,13,1116,97.34,30,96.81,12.38
20231011,14,990,92.17,146,99.63,10.12
20231011,15,959,93.34,178,90.43,19.25
20231011,16,1051,86.11,256,96.95,10.75
20231011,17,846,94.44,43,92.94,19.96
20231011,18,853,93.76,173,97.37,19.15
20231011,19,1129,99.26,185,93.36,11.7
20231011,20,963,91.96,215,92.29,12.66
20231012,1,1156,99.62,221,94.53,10.32
20231012,2,1000,89.64,241,96.03,12.71
20231012,3,1196,98.66,282,99.41,14.17
20231012,4,996,94.2,39,99.33,18.66
20231012,5,1164,87.47,94,94.8,19.85
20231012,6,1066,93.91,92,93.93,18.29
20231012,7,976,97.57,127,90.37,11.34
20231012,8,1110,97.97,226,100.0,19.97
20231012,9,822,96.53,194,97.57,13.78
20231012,10,884,91.76,30,99.54,16.06
20231012,11,1168,96.35,63,93.58,11.14
20231012,12,953,92.47,147,98.31,13.08
20231012,13,853,99.52,251,97.92,15.9
20231012,14,1054,85.43,236,97.85,16.39
20231012,15,874,88.19,221,90.15,13.51
20231012,16,897,94.55,278,95.14,17.84
20231012,17,829,94.33,80,96.98,17.96
20231012,18,937,98.9,98,99.8,14.93
20231012,19,1004,88.14,72,92.4,10.76
20231012,20,1048,91.9,124,94.0,16.98
20231013,1,1187,87.73,213,94.12,18.74
20231013,2,954,95.01,90,91.92,10.41
20231013,3,804,90.18,199,91.77,10.89
20231013,4,800,93.02,41,92.06,13.64
20231013,5,877,89.95,102,90.92,14.81
20231013,6,1013,86.23,136,99.21,10.61
20231013,7,825,98.02,37,97.48,11.85
20231013,8,1006,93.05,85,94.85,16.18
20231013,9,877,91.94,183,90.37,12.52
20231013,10,806,95.31,267,97.5,10.3
20231013,11,1073,91.71,256,93.97,11.05
20231013,12,918,90.66,231,95.64,18.41
20231013,13,885,89.91,54,98.91,15.94
20231013,14,867,90.33,262,94.98,10.87
20231013,15,910,96.05,140,97.45,14.32
20231013,16,882,90.68,130,93.63,16.46
20231013,17,1025,88.67,258,99.34,10.08
20231013,18,1076,87.29,141,91.61,11.87
20231013,19,1117,97.09,181,98.97,10.8
20231013,20,1042,85.27,258,99.82,11.12
20231014,1,1121,93.64,104,98.66,18.17
20231014,2,1168,92.36,91,99.29,15.57
20231014,3,1191,92.15,202,97.69,11.87
20231014,4,917,95.66,241,95.08,12.42
20231014,5,846,95.61,171,92.89,15.81
20231014,6,938,98.98,288,90.52,13.37
20231014,7,809,93.23,167,99.9,13.22
20231014,8,929,86.32,130,90.03,11.17
20231014,9,1198,92.07,123,91.07,18.51
20231014,10,1035,91.13,166,92.05,13.79
20231014,11,800,96.12,89,98.42,11.4
20231014,12,1160,96.26,242,91.86,12.36
20231014,13,877,92.85,161,93.16,15.88
20231014,14,1095,91.78,133,93.77,14.63
20231014,15,1152,96.21,172,95.77,13.55
20231014,16,1108,98.6,68,91.17,19.4
20231014,17,1190,95.96,71,91.39,17.94
20231014,18,956,92.43,260,95.73,19.98
20231014,19,896,95.6,283,92.05,17.14
20231014,20,804,98.15,147,98.21,11.11
20231015,1,1027,91.86,213,95.02,15.4
20231015,2,956,88.44,202,97.2,16.41
20231015,3,1042,93.48,98,98.27,19.59
20231015,4,1159,93.75,229,94.24,12.88
20231015,5,1162,87.3,170,91.39,11.01
20231015,6,910,95.89,200,99.32,15.65
20231015,7,1123,96.85,156,91.53,15.76
20231015,8,1177,86.03,80,97.36,19.34
20231015,9,1013,98.66,286,91.13,19.85
20231015,10,909,87.79,30,98.7,15.19
20231015,11,1198,90.99,166,92.06,17.88
20231015,12,953,90.0,92,94.15,18.64
20231015,13,1093,90.2,239,94.81,19.18
20231015,14,927,88.37,280,91.41,11.76
20231015,15,979,91.28,190,93.62,15.81
20231015,16,949,88.3,78,91.78,19.61
20231015,17,976,93.36,92,99.97,15.02
20231015,18,1056,89.65,244,94.27,18.0
20231015,19,1117,88.08,173,95.65,10.66
20231015,20,877,95.71,223,95.34,14.81
20231016,1,1021,93.39,161,91.82,18.62
20231016,2,1158,96.3,295,92.71,16.44
20231016,3,1179,97.01,84,91.56,17.16
20231016,4,1148,91.12,276,92.54,11.96
20231016,5,1054,85.3,83,93.39,15.69
20231016,6,850,94.79,293,90.99,12.43
20231016,7,877,94.05,194,91.41,14.06
20231016,8,1110,98.45,36,96.33,17.36
20231016,9,884,85.4,65,96.43,17.04
20231016,10,1184,97.26,40,92.59,13.8
20231016,11,918,89.02,290,93.45,17.74
20231016,12,1192,91.54,110,98.68,14.87
20231016,13,1014,97.0,238,94.85,15.12
20231016,14,808,93.12,266,94.03,12.18
20231016,15,1077,97.52,33,91.32,19.01
20231016,16,897,89.08,104,98.23,15.3
20231016,17,841,93.65,63,95.54,16.51
20231016,18,1177,95.8,146,90.11,11.37
20231016,19,1112,89.0,248,95.97,16.01
20231016,20,1108,87.63,202,98.38,14.04
20231017,1,989,92.78,93,93.54,19.59
20231017,2,992,86.24,58,93.89,12.89
20231017,3,963,95.79,261,95.66,14.76
20231017,4,910,99.31,98,94.84,12.7
20231017,5,1038,88.93,256,98.42,18.46
20231017,6,1164,87.32,230,97.71,11.07
20231017,7,1000,90.27,158,94.95,16.88
20231017,8,841,91.9,160,90.78,10.02
20231017,9,901,93.85,130,90.92,19.17
20231017,10,816,99.25,41,95.42,18.73
20231017,11,1063,94.58,110,96.59,16.92
20231017,12,997,99.71,118,96.47,16.93
20231017,13,1164,95.05,295,95.88,19.99
20231017,14,1081,93.52,279,93.13,11.21
20231017,15,806,89.46,205,91.15,14.22
20231017,16,881,96.18,132,90.37,15.96
20231017,17,907,86.81,127,98.85,15.3
20231017,18,982,91.07,68,93.15,15.39
20231017,19,1148,94.92,239,95.2,14.27
20231017,20,907,88.49,256,98.7,10.21
20231018,1,1046,87.78,125,97.99,19.98
20231018,2,828,96.51,274,94.8,15.81
20231018,3,1035,99.76,295,90.92,13.36
20231018,4,1139,96.06,206,91.1,13.55
20231018,5,957,97.79,175,92.34,10.42
20231018,6,992,98.66,102,91.09,13.92
20231018,7,939,99.35,90,92.59,15.89
20231018,8,1094,98.19,40,99.04,19.89
20231018,9,998,99.87,88,94.02,18.38
20231018,10,1109,94.12,136,91.77,12.2
20231018,11,1040,99.36,291,98.01,16.3
20231018,12,1014,98.26,128,95.97,15.25
20231018,13,1178,90.94,207,94.91,19.96
20231018,14,802,97.24,298,92.24,15.37
20231018,15,1128,98.42,127,94.57,13.91
20231018,16,922,86.94,166,90.44,18.52
20231018,17,969,97.14,69,99.32,17.35
20231018,18,1025,91.13,67,92.6,17.23
20231018,19,889,92.99,66,92.2,16.83
20231018,20,880,85.92,253,95.16,19.07
20231019,1,1122,90.22,69,95.66,12.67
20231019,2,1061,92.82,197,92.45,11.57
20231019,3,1103,95.63,74,96.97,16.8
20231019,4,990,95.48,217,91.59,18.81
