DateID,ProductID,TotalUnitsProduced,DefectRatePercent,FirstPassYieldPercent,CostOfPoorQuality,ReturnsRatePercent,Soldering_Defects,Component_Misalignment,PCB_Damage,Overheating_Issues,Connectivity_Problems,Power_Supply_Issues,Short_Circuits,Software_Glitches,Cosmetic_Defects,Functional_Failures
20231007,1,1116,2.15,97.85,291.79,1.38,6,6,1,3,2,1,2,0,2,1
20231007,2,1097,0.82,99.18,57.81,0.35,2,2,1,1,1,0,0,1,1,0
20231007,3,803,3.86,96.14,423.74,0.68,8,5,3,2,3,4,1,1,2,2
20231007,4,1069,0.84,99.16,91.47,1.05,0,0,1,2,1,2,0,1,0,2
20231007,5,808,1.73,98.27,179.76,0.38,4,2,1,4,1,1,0,0,0,1
20231007,6,1006,4.57,95.43,664.74,0.32,13,4,8,6,4,3,2,2,1,3
20231007,7,936,2.99,97.01,359.01,0.45,10,5,4,3,2,0,0,1,2,1
20231007,8,1196,1.51,98.49,240.37,1.18,5,3,1,1,3,3,1,0,1,0
20231007,9,994,1.01,98.99,118.04,1.93,2,1,0,0,2,2,1,0,1,1
20231007,10,804,3.36,96.64,213.27,0.28,5,4,4,6,2,3,1,0,2,0
20231007,11,935,3.1,96.9,329.46,0.14,5,4,3,1,3,5,4,1,2,1
20231007,12,1152,4.34,95.66,333.0,1.23,11,8,5,4,4,4,1,5,5,3
20231007,13,1185,2.36,97.64,365.48,1.53,5,4,3,10,0,3,3,0,0,0
20231007,14,1120,2.32,97.68,133.19,0.98,1,3,5,1,3,5,2,2,4,0
20231007,15,1018,4.62,95.38,298.37,1.01,12,8,5,2,7,7,0,2,2,2
20231007,16,1178,4.58,95.42,498.72,0.08,18,7,10,1,2,5,4,2,3,2
20231007,17,1088,1.19,98.81,148.85,1.19,4,0,0,2,2,2,0,1,1,1
20231007,18,874,3.78,96.22,388.79,1.97,4,7,6,1,3,2,1,3,5,1
20231007,19,1153,3.99,96.01,367.75,1.57,15,4,2,6,4,4,3,2,3,3
20231007,20,988,1.62,98.38,123.82,1.39,4,0,3,2,1,1,1,1,2,1
20231008,1,944,3.71,96.29,291.55,0.66,8,6,4,0,3,2,3,3,2,4
20231008,2,1000,4.0,96.0,226.93,0.09,8,7,6,5,4,3,3,2,1,1
20231008,3,922,4.45,95.55,221.26,1.82,12,8,4,2,4,5,2,3,0,1
20231008,4,922,0.22,99.78,16.2,1.66,1,1,0,0,0,0,0,0,0,0
20231008,5,1046,1.82,98.18,277.65,0.9,6,1,2,2,2,3,2,1,0,0
20231008,6,845,2.01,97.99,116.71,0.34,5,3,1,2,0,4,0,0,2,0
20231008,7,985,0.0,100.0,0.0,1.78,0,0,0,0,0,0,0,0,0,0
20231008,8,914,4.92,95.08,306.81,0.56,10,5,3,10,4,2,2,3,3,3
20231008,9,886,1.47,98.53,142.77,1.58,3,0,0,2,0,1,2,2,1,2
20231008,10,1018,1.96,98.04,282.29,0.11,3,2,5,2,0,2,2,0,3,1
20231008,11,831,2.29,97.71,149.97,1.34,0,2,3,1,3,3,3,1,1,2
20231008,12,1105,3.26,96.74,537.52,1.18,7,12,0,2,5,1,0,1,5,3
20231008,13,1031,4.36,95.64,355.87,0.67,9,7,6,5,5,8,0,1,3,1
20231008,14,1055,4.93,95.07,467.47,0.57,11,6,7,3,4,10,3,4,1,3
20231008,15,1102,4.54,95.46,734.33,1.83,11,5,6,5,2,8,4,4,2,3
20231008,16,1142,1.75,98.25,270.76,1.91,5,0,3,3,4,2,3,0,0,0
20231008,17,1057,4.26,95.74,452.91,1.58,8,9,6,3,6,5,1,2,4,1
20231008,18,1067,2.34,97.66,249.16,1.08,8,6,2,1,2,4,0,0,0,2
20231008,19,821,1.34,98.66,117.15,0.39,3,2,1,2,1,0,1,0,0,1
20231008,20,1178,2.55,97.45,211.38,0.2,5,2,4,2,6,0,4,2,4,1
20231009,1,1007,0.3,99.7,19.32,1.36,1,0,0,0,0,0,0,1,1,0
20231009,2,1026,2.73,97.27,222.71,0.94,5,5,4,6,3,1,0,2,1,1
20231009,3,1045,1.63,98.37,113.33,0.4,4,1,4,1,1,2,0,0,1,3
20231009,4,1093,1.92,98.08,276.58,0.32,6,3,0,4,3,4,0,0,0,1
20231009,5,932,0.97,99.03,98.17,1.14,2,2,1,0,1,2,1,0,0,0
20231009,6,969,2.99,97.01,201.13,1.52,8,3,3,1,3,4,0,3,3,1
20231009,7,862,0.81,99.19,62.32,1.9,1,2,0,2,1,0,0,1,0,0
20231009,8,991,3.53,96.47,486.55,0.91,10,5,2,6,1,3,1,5,0,2
20231009,9,1158,3.89,96.11,245.34,1.8,14,5,7,3,5,5,1,0,2,3
20231009,10,1147,0.17,99.83,21.18,1.36,1,0,0,0,1,0,0,0,0,0
20231009,11,944,4.87,95.13,494.45,0.81,11,5,7,4,7,4,1,1,4,2
20231009,12,1060,4.43,95.57,369.42,2.0,12,5,4,4,5,6,1,3,3,4
20231009,13,958,2.82,97.18,242.29,0.75,5,6,5,2,3,1,0,1,2,2
20231009,14,1148,3.48,96.52,551.04,0.35,11,4,1,5,4,2,2,4,3,4
20231009,15,812,1.23,98.77,56.89,1.51,6,1,0,0,1,0,1,0,0,1
20231009,16,811,4.93,95.07,457.07,1.62,13,2,2,7,7,1,3,1,2,2
20231009,17,1042,3.36,96.64,347.21,1.52,10,6,3,4,0,0,3,3,1,5
20231009,18,869,0.92,99.08,53.34,1.17,2,2,0,1,0,1,1,0,0,1
20231009,19,904,1.66,98.34,130.79,1.81,5,2,1,2,2,3,0,0,0,0
20231009,20,894,3.24,96.76,224.3,0.2,8,6,0,3,3,5,3,0,0,1
20231010,1,833,3.12,96.88,287.48,1.49,5,5,3,1,3,3,2,0,2,2
20231010,2,941,1.49,98.51,123.98,0.83,3,1,2,3,0,3,1,0,1,0
20231010,3,936,1.5,98.5,163.68,0.41,4,1,1,0,2,1,0,0,2,3
20231010,4,934,3.1,96.9,175.41,0.91,6,4,2,2,1,4,4,3,3,0
20231010,5,955,2.3,97.7,176.92,0.8,7,6,2,0,1,0,0,0,2,4
20231010,6,918,0.65,99.35,55.23,0.65,2,0,0,1,1,0,1,0,0,1
20231010,7,931,2.9,97.1,264.77,1.99,6,4,4,4,3,1,2,1,0,2
20231010,8,1172,0.68,99.32,60.51,1.22,1,0,0,0,3,0,2,0,2,0
