DateID,SupplierID,LeadTimeDays,DefectRatePercent,OnTimeDeliveryPercent,PurchaseOrderFulfillmentPercent
20231007,1,10,0.61,91.08,93.07
20231007,2,5,0.24,98.23,94.02
20231007,3,5,2.75,91.3,95.46
20231007,4,16,2.04,93.19,93.51
20231007,5,15,3.12,94.67,90.19
20231007,6,6,1.71,91.79,94.77
20231007,7,13,3.45,94.24,97.25
20231007,8,19,3.02,95.03,93.64
20231007,9,11,4.03,99.48,96.52
20231007,10,15,0.57,96.94,97.91
20231007,11,6,3.51,98.71,93.58
20231007,12,18,2.5,99.94,92.52
20231007,13,10,2.48,92.64,94.7
20231007,14,8,0.26,91.32,94.3
20231007,15,17,4.06,97.72,98.18
20231008,1,8,3.12,98.68,92.23
20231008,2,18,3.73,90.36,94.86
20231008,3,14,2.99,91.7,92.43
20231008,4,5,1.21,90.49,94.59
20231008,5,16,2.29,97.16,90.76
20231008,6,6,3.42,92.57,99.4
20231008,7,19,2.35,94.77,94.21
20231008,8,17,3.48,93.38,91.92
20231008,9,13,2.64,91.21,97.79
20231008,10,6,1.43,91.16,92.66
20231008,11,8,4.65,92.66,98.62
20231008,12,11,1.47,90.09,97.37
20231008,13,12,2.41,92.94,92.76
20231008,14,18,4.61,95.5,93.47
20231008,15,14,4.84,91.94,90.81
20231009,1,11,4.54,96.65,96.19
20231009,2,6,1.3,93.88,92.92
20231009,3,14,0.31,91.88,94.36
20231009,4,11,0.23,99.27,98.61
20231009,5,7,0.62,90.82,91.6
20231009,6,6,2.49,97.58,92.99
20231009,7,7,4.38,90.67,94.76
20231009,8,7,3.66,90.72,95.73
20231009,9,9,2.34,99.25,94.29
20231009,10,6,1.16,99.17,90.89
20231009,11,17,1.24,99.11,90.21
20231009,12,16,1.86,92.33,98.43
20231009,13,6,1.64,99.31,94.68
20231009,14,11,2.14,97.08,99.72
20231009,15,18,4.19,92.0,99.43
20231010,1,12,3.57,94.28,95.91
20231010,2,15,2.07,98.35,90.05
20231010,3,8,1.26,98.35,98.73
20231010,4,10,1.83,99.82,94.43
20231010,5,5,2.53,95.99,99.1
20231010,6,17,1.2,95.32,98.17
20231010,7,11,0.56,92.82,94.44
20231010,8,5,2.8,92.83,90.91
20231010,9,15,4.25,94.39,95.83
20231010,10,8,0.51,94.82,93.9
