DateID,DepartmentID,Employees,LaborCostPerUnit,UnitsProducedPerEmployee,LaborHoursUtilized,LaborHoursPlanned,OvertimeHours,OvertimeCost
20231007,1,11,9.3,74.91,147.24,160,10.5,356.64
20231007,2,19,14.29,90.8,104.91,160,13.41,565.15
20231007,3,15,13.84,188.77,122.31,160,4.27,128.67
20231007,4,12,9.89,178.73,102.7,160,8.84,410.26
20231007,5,13,12.95,197.42,87.03,160,0.82,26.78
20231007,6,13,12.02,96.43,113.13,160,4.22,182.44
20231007,7,19,6.32,84.72,113.5,160,3.26,102.68
20231007,8,11,13.49,183.8,95.49,160,4.61,191.98
20231007,9,14,11.35,87.28,123.62,160,13.91,460.33
20231007,10,10,12.92,168.36,88.33,160,8.77,252.71
20231008,1,5,6.17,165.34,144.49,160,16.18,358.94
20231008,2,7,8.19,197.53,145.37,160,17.47,508.62
20231008,3,6,13.33,71.85,85.7,160,12.99,276.37
20231008,4,5,9.28,91.04,104.22,160,17.47,432.94
20231008,5,8,10.09,163.1,133.13,160,17.81,661.28
20231008,6,9,5.19,156.9,134.49,160,18.5,709.97
20231008,7,15,10.85,127.3,108.66,160,17.77,423.07
20231008,8,7,14.86,168.72,130.59,160,7.8,293.9
20231008,9,12,7.11,118.1,88.5,160,19.76,968.84
20231008,10,19,13.52,106.45,127.7,160,0.72,29.35
20231009,1,10,5.12,74.32,128.31,160,14.66,490.84
20231009,2,19,8.32,87.5,104.19,160,5.33,112.69
20231009,3,7,5.92,163.28,96.58,160,1.7,70.68
20231009,4,9,11.47,197.98,125.37,160,3.42,136.78
20231009,5,10,11.65,184.31,109.57,160,19.22,709.41
20231009,6,15,9.76,58.87,135.26,160,4.45,151.89
20231009,7,6,8.4,134.57,154.95,160,3.13,89.2
20231009,8,12,6.82,170.57,138.9,160,11.31,539.12
20231009,9,11,12.64,117.17,104.89,160,12.9,410.52
20231009,10,7,5.36,74.44,90.36,160,19.68,838.44
20231010,1,19,9.24,76.99,150.09,160,9.95,200.53
20231010,2,9,9.67,132.5,151.96,160,8.55,427.49
20231010,3,11,7.04,66.85,101.15,160,18.22,483.97
20231010,4,6,11.41,141.2,121.81,160,12.87,506.15
20231010,5,16,7.09,118.31,100.46,160,0.12,4.14
20231010,6,16,14.53,113.99,145.38,160,6.79,331.32
20231010,7,14,12.45,149.17,136.56,160,16.5,771.88
20231010,8,14,7.67,193.93,131.76,160,19.82,440.76
20231010,9,13,12.61,186.21,148.17,160,16.69,495.72
20231010,10,12,13.7,190.46,113.86,160,13.42,538.68
20231011,1,10,9.54,141.89,99.62,160,0.32,11.04
20231011,2,9,10.86,148.33,80.67,160,17.87,534.04
20231011,3,19,5.29,186.8,126.29,160,2.04,45.12
20231011,4,10,10.3,99.43,83.68,160,18.4,794.59
20231011,5,13,9.74,117.45,107.26,160,0.56,23.3
20231011,6,13,6.66,88.73,118.29,160,15.34,569.07
20231011,7,8,7.74,173.99,113.74,160,18.69,684.25
20231011,8,14,8.28,198.7,127.12,160,2.83,94.43
20231011,9,17,14.84,129.92,137.8,160,17.15,744.35
20231011,10,9,14.21,90.52,107.49,160,7.56,207.42
20231012,1,11,11.63,164.7,84.59,160,14.95,593.43
20231012,2,11,5.51,186.1,149.93,160,12.13,452.1
20231012,3,8,12.81,76.25,100.34,160,11.42,251.36
20231012,4,6,11.17,150.68,101.61,160,5.24,253.27
20231012,5,7,12.23,117.25,154.0,160,10.76,356.96
20231012,6,10,9.42,87.74,86.52,160,12.13,420.97
20231012,7,14,5.08,86.57,95.05,160,19.27,523.47
20231012,8,18,10.25,190.71,105.27,160,6.69,299.91
20231012,9,19,14.99,179.34,98.02,160,14.85,318.72
20231012,10,13,5.93,81.93,147.05,160,0.9,20.29
20231013,1,10,11.24,155.7,136.17,160,1.15,35.04
20231013,2,14,11.82,154.49,156.77,160,19.52,474.39
20231013,3,10,14.18,76.97,91.02,160,14.52,544.57
20231013,4,16,7.0,185.6,102.7,160,3.5,133.05
20231013,5,9,6.77,168.01,92.51,160,9.24,326.9
20231013,6,8,14.13,74.17,152.86,160,5.31,198.31
20231013,7,17,10.04,60.61,158.4,160,15.09,375.38
20231013,8,6,5.65,171.83,108.48,160,5.58,260.12
20231013,9,19,10.52,144.83,116.92,160,1.1,45.05
20231013,10,8,6.89,113.94,157.48,160,4.87,104.88
20231014,1,8,9.1,79.69,81.16,160,14.2,495.75
20231014,2,14,13.62,170.49,91.4,160,15.27,381.65
20231014,3,10,9.89,183.38,129.14,160,5.28,119.75
20231014,4,8,10.19,142.57,140.2,160,7.98,313.88
20231014,5,11,13.73,136.02,86.98,160,17.16,582.88
20231014,6,11,14.11,142.69,156.33,160,5.13,206.31
20231014,7,13,9.08,184.07,155.92,160,19.34,640.09
20231014,8,14,5.81,168.15,121.86,160,10.1,406.45
20231014,9,12,5.98,191.84,114.6,160,11.85,443.83
20231014,10,8,12.9,71.2,109.7,160,18.49,816.76
20231015,1,9,12.57,72.6,101.34,160,13.33,491.49
20231015,2,19,13.3,108.1,115.92,160,19.95,518.73
20231015,3,8,10.5,157.89,84.13,160,2.0,53.01
20231015,4,6,12.3,169.02,143.08,160,4.56,226.73
